case_Model,MRP,cpu_Model,MRP,internal-hard-drive_Model,MRP,memory_Model,MRP,motherboard_Model,MRP,power-supply_Model,MRP,video-card_Model,MRP,Total Price
BitFenix Nova Mesh SE,192.87,AMD Ryzen 5 4600G,2894.91,Patriot Burst Elite,1325.3,TEAMGROUP T-Create Classic 16 GB,2749.5,Asus PRIME Z790-P WIFI,1793.91,Apevia Premier,582.16,MSI SUPRIM X,7618.54,17157.19
HYTE Y70 Touch,159.87,Intel Core i5-7600K,4126.02,Samsung 980 Pro w/Heatsink,1706.31,Corsair Dominator Titanium 64 GB,2144.52,ASRock B550M Pro4,3586.77,Apevia Premier,601.81,XFX Speedster SWFT 210 Core,2400.4,14725.7
Montech X3 Mesh,630.19,Intel Core i9-14900KS,4180.94,Inland Professional,2142.48,Silicon Power SP016GLLTU160N22 16 GB,3880.03,MSI PRO B760-P WIFI DDR4,2657.43,MSI MAG A750BN PCIE5,141.19,PowerColor Red Dragon OC,1084.0,14716.26
Montech KING 95 PRO,858.01,Intel Core i7-7700,2812.64,TEAMGROUP QX,638.26,G.Skill Trident Z5 RGB 64 GB,3660.86,Gigabyte B650 AORUS ELITE AX ICE,2671.59,Deepcool PQ1000M,715.75,XFX Speedster SWFT 210,4567.92,15925.03
Thermaltake S100 Snow Edition,62.39,Intel Core i5-4460,2704.17,Crucial T705,1777.34,Silicon Power XPOWER Turbine 32 GB,348.54,Gigabyte A620I AX,1332.2,EVGA SuperNOVA 750 GA,501.4,Asus ROG Matrix Platinum,1263.61,7989.65
Lian Li PC-O11 Dynamic,165.65,Intel Core i7-11700F,4103.08,Samsung 980,2307.6,OLOy OWL RGB 16 GB,1631.14,Gigabyte B550M K,263.24,be quiet! SFX Power 3 450,368.52,XFX Speedster SWFT 319,6518.43,15357.66
Fractal Design Focus G,359.41,Intel Core i3-9100,4053.34,Crucial BX500,406.76,Corsair Vengeance RGB 32 GB,1267.31,ASRock B550M Pro4,1794.82,Silverstone Strider Platinum S,225.72,Asus TUF Gaming OG OC,2542.26,10649.62
Cooler Master MasterBox TD500 Mesh w/ Controller,525.2,AMD Ryzen 5 5500,2439.04,Crucial T700,2187.19,Silicon Power XPOWER Turbine 32 GB,1533.77,MSI MPG Z790I EDGE WIFI,2376.6,Silverstone TX500-G,179.21,NVIDIA 9001G4112520001,1273.88,10514.89
NZXT H510,492.17,Intel Core i9-10850K,596.67,PNY CS1030,1932.86,Corsair Dominator Platinum RGB 32 GB,3631.5,ASRock X570 Phantom Gaming 4S,2323.73,Thermaltake Toughpower GX2,302.83,Gigabyte AORUS MASTER,9116.65,18396.41
NZXT H5 Flow,971.84,Intel Core i5-9600KF,3485.52,ADATA LEGEND 850 LITE,2031.89,G.Skill Trident Z RGB 16 GB,1679.85,ASRock H370M-HDV,2443.11,Corsair CX750M (2021),133.57,Zotac GAMING Trinity,1398.9,12144.68
Phanteks Eclipse G360A,702.42,AMD Ryzen 3 3300X,3010.28,Crucial P3 Plus,1250.43,G.Skill Ripjaws S5 96 GB,2571.23,ASRock A620M Pro RS WiFi,609.05,EVGA 650 B5,395.13,PowerColor Fighter OC,7229.98,15768.52
Fractal Design Define R5,442.11,Intel Core i5-13600K,4205.87,TEAMGROUP MP33 PRO,1648.21,G.Skill Flare X5 32 GB,84.74,ASRock X670E Taichi Carrara,3293.23,Gigabyte P850GM,561.22,MSI VENTUS XS OC,8022.37,18257.75
Zalman P30,491.25,AMD Ryzen 7 5700G,294.71,Lexar NS100,1738.44,TEAMGROUP T-Force Delta RGB 32 GB,3100.92,Asus ROG STRIX B550-A GAMING,738.48,EVGA SuperNOVA 650 GA,454.16,Asus TUF Gaming OG OC,5289.66,12107.62
Jonsbo N1,232.97,Intel Core i7-11700K,3792.11,Crucial P3,1815.33,G.Skill Trident Z Royal 32 GB,3362.86,ASRock B760M Pro RS/D4 WiFi,2553.92,Apevia Premier,168.1,Asus TUF Gaming OG OC,6487.28,18412.57
Asus ROG Strix Helios,256.12,Intel Core i3-6100,1936.66,Seagate Constellation CS,1836.81,Kingston FURY Beast RGB 32 GB,1629.25,MSI MEG Z790 GODLIKE MAX,962.09,Corsair RM1000e (2023),477.88,PNY VCNRTX6000ADA-PB,5989.59,13088.4
MSI MAG PANO M100R PZ,289.23,Intel Core i7-4790,3678.97,Crucial BX500,2358.12,Crucial CT8G48C40U5 8 GB,1030.58,Gigabyte B760M AORUS ELITE AX,1094.45,EVGA SuperNOVA 750 G5,20.87,MSI VENTUS 2X BLACK OC,1960.01,10432.23
Thermaltake The Tower 300,185.29,Intel Core i5-9400F,2571.77,Western Digital SE,2297.0,Patriot Viper Venom 16 GB,2042.32,MSI PRO B650M-A WIFI,1307.8,Montech TITAN GOLD 1000W,653.18,Gigabyte WINDFORCE V2,4077.89,13135.25
Corsair iCUE 4000D RGB AIRFLOW,541.22,Intel Pentium E2160,933.77,Crucial P1,778.43,Crucial CT8G48C40U5 8 GB,439.94,ASRock B450 Pro4 R2.0,63.84,Corsair RM1200x SHIFT,272.32,ASRock Taichi OC,9349.58,12379.1
Fractal Design North,74.79,AMD Ryzen 7 5800X,3621.55,Klevv CRAS C710,74.25,Silicon Power Value Gaming 32 GB,1036.91,ASRock B650M-H/M.2+,1411.47,Gigabyte UD-GM PG5,480.81,Zotac Twin Edge OC,9732.61,16432.39
Deepcool CH560 DIGITAL,241.04,Intel Core i7-5775C,3935.71,Corsair MP700,105.7,KingBank SharpBlade RGB 32 GB,2816.68,MSI MEG Z790 GODLIKE MAX,3036.61,EVGA SuperNOVA 650 GA,363.79,ASRock Challenger D OC,3361.16,13860.69
NZXT H5 Elite,271.0,Intel Core i3-13100F,1398.78,KingSpec XG7000,354.87,TEAMGROUP T-Force Delta RGB 64 GB,2533.7,Asus Prime B450M-A II,3007.02,Asus ROG Strix,415.39,MSI Ventus XS OCV1,8991.42,16972.18
GameMax M60,505.64,Intel Core i5-11400F,968.27,Western Digital Caviar Blue,1865.71,Patriot Viper Steel 32 GB,1795.64,MSI MPG Z790I EDGE WIFI,1817.86,MSI MAG A850GL PCIE5,468.57,ASRock Challenger D,2600.44,10022.13
Cooler Master Q300L V2,274.81,Intel Core i7-13700F,1262.0,MSI SPATIUM M482,2458.39,Crucial CT8G48C40U5 8 GB,2588.26,MSI PRO B760-VC WIFI IV,2361.24,Corsair RM850x (2018),465.39,XFX GTS XXX,1249.99,10660.08
SAMA IM01,524.83,Intel Core i9-10920X,4191.62,Solidigm P41 Plus,1896.29,Patriot Viper Steel 32 GB,2083.62,ASRock B450 Pro4 R2.0,1159.89,Asus ROG THOR 1600T Gaming,605.28,Asus TUF GAMING OC,1872.96,12334.49
